GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US24510,24510,"Baltimore city, Maryland",166100,4308
0500000US25001,25001,"Barnstable County, Massachusetts",369900,8779
0500000US25003,25003,"Berkshire County, Massachusetts",204000,12897
0500000US25005,25005,"Bristol County, Massachusetts",283600,3853
0500000US25009,25009,"Essex County, Massachusetts",352900,5186
0500000US25011,25011,"Franklin County, Massachusetts",227600,7332
0500000US25013,25013,"Hampden County, Massachusetts",201400,4808
0500000US25015,25015,"Hampshire County, Massachusetts",266500,8343
0500000US25017,25017,"Middlesex County, Massachusetts",403500,5807
0500000US25021,25021,"Norfolk County, Massachusetts",392000,5569
0500000US25023,25023,"Plymouth County, Massachusetts",339400,5176
0500000US25025,25025,"Suffolk County, Massachusetts",361700,7391
0500000US25027,25027,"Worcester County, Massachusetts",268100,4681
0500000US26005,26005,"Allegan County, Michigan",141200,8268
0500000US26017,26017,"Bay County, Michigan",95800,3266
0500000US26021,26021,"Berrien County, Michigan",130500,5752
0500000US26025,26025,"Calhoun County, Michigan",103100,4591
0500000US26037,26037,"Clinton County, Michigan",158000,6475
0500000US26045,26045,"Eaton County, Michigan",143300,7121
0500000US26049,26049,"Genesee County, Michigan",94100,3326
0500000US26055,26055,"Grand Traverse County, Michigan",171100,7088
0500000US26065,26065,"Ingham County, Michigan",122600,4622
0500000US26073,26073,"Isabella County, Michigan",117100,7881
0500000US26075,26075,"Jackson County, Michigan",116600,6031
0500000US26077,26077,"Kalamazoo County, Michigan",143800,4724
0500000US26081,26081,"Kent County, Michigan",141700,3083
0500000US26087,26087,"Lapeer County, Michigan",143200,8267
0500000US26091,26091,"Lenawee County, Michigan",118000,6256
0500000US26093,26093,"Livingston County, Michigan",185200,5110
0500000US26099,26099,"Macomb County, Michigan",123000,2136
0500000US26103,26103,"Marquette County, Michigan",126000,10776
0500000US26111,26111,"Midland County, Michigan",126700,7670
0500000US26115,26115,"Monroe County, Michigan",147400,8147
0500000US26121,26121,"Muskegon County, Michigan",103900,4355
0500000US26125,26125,"Oakland County, Michigan",166600,1989
0500000US26139,26139,"Ottawa County, Michigan",156000,3540
0500000US26145,26145,"Saginaw County, Michigan",104200,5496
0500000US26147,26147,"St. Clair County, Michigan",122900,5118
0500000US26155,26155,"Shiawassee County, Michigan",114700,7078
0500000US26159,26159,"Van Buren County, Michigan",124200,9138
0500000US26161,26161,"Washtenaw County, Michigan",190600,4678
0500000US26163,26163,"Wayne County, Michigan",89500,1446
0500000US27003,27003,"Anoka County, Minnesota",198000,3423
0500000US27019,27019,"Carver County, Minnesota",275100,13142
0500000US27037,27037,"Dakota County, Minnesota",233800,3916
0500000US27053,27053,"Hennepin County, Minnesota",238000,2871
0500000US27109,27109,"Olmsted County, Minnesota",171800,4376
0500000US27123,27123,"Ramsey County, Minnesota",207700,4428
0500000US27137,27137,"St. Louis County, Minnesota",135600,5733
0500000US27139,27139,"Scott County, Minnesota",258800,9374
0500000US27141,27141,"Sherburne County, Minnesota",192200,6851
0500000US27145,27145,"Stearns County, Minnesota",172200,4511
0500000US27163,27163,"Washington County, Minnesota",249000,6886
0500000US27171,27171,"Wright County, Minnesota",200200,6929
0500000US28033,28033,"DeSoto County, Mississippi",156100,6384
0500000US28035,28035,"Forrest County, Mississippi",126400,14589
0500000US28047,28047,"Harrison County, Mississippi",151500,6772
0500000US28049,28049,"Hinds County, Mississippi",115200,6521
0500000US28059,28059,"Jackson County, Mississippi",119700,5303
0500000US28067,28067,"Jones County, Mississippi",75400,7145
0500000US28075,28075,"Lauderdale County, Mississippi",84500,7603
0500000US28081,28081,"Lee County, Mississippi",100600,7777
0500000US28089,28089,"Madison County, Mississippi",187300,17900
0500000US28121,28121,"Rankin County, Mississippi",141800,6619
0500000US29019,29019,"Boone County, Missouri",158500,5813
0500000US29021,29021,"Buchanan County, Missouri",113700,10652
0500000US29031,29031,"Cape Girardeau County, Missouri",140800,8861
0500000US29037,29037,"Cass County, Missouri",154200,5482
0500000US29043,29043,"Christian County, Missouri",143100,6580
0500000US29047,29047,"Clay County, Missouri",150500,4438
0500000US29051,29051,"Cole County, Missouri",141400,6194
0500000US29071,29071,"Franklin County, Missouri",147000,7901
0500000US29077,29077,"Greene County, Missouri",128900,5187
0500000US29095,29095,"Jackson County, Missouri",131900,3053
0500000US29097,29097,"Jasper County, Missouri",96600,5302
0500000US29099,29099,"Jefferson County, Missouri",156400,5131
