GEO.display-label,GEO.id,HC01_VC85,HD01_VD01,HC01_VC73,HC01_VC72,HC01_VC74,HC01_VC75,HC01_VC156,HC01_VC76,GEO.id2,HD02_VD01,HC01_VC38,HC01_VC77
"McHenry County, Illinois",0500000US17111,68867,231700,4675,278556,1905,9900,0,0,17111,4939,309192,17875
"McLean County, Illinois",0500000US17113,59588,159600,14435,147449,918,8185,0,0,17113,4475,169832,3900
"Macon County, Illinois",0500000US17115,40919,91800,20670,90616,285,1400,0,0,17115,5134,110715,633
"Madison County, Illinois",0500000US17119,51901,124700,24413,243739,1848,3099,0,0,17119,5953,269271,1620
"Peoria County, Illinois",0500000US17143,50425,123200,36156,144563,1488,6639,0,0,17143,4921,186311,1828
"Rock Island County, Illinois",0500000US17161,45005,113000,16074,122385,1397,3013,0,0,17161,4763,147517,9380
"St. Clair County, Illinois",0500000US17163,47156,124900,86497,179878,1519,5097,0,0,17163,6506,270419,3174
"Sangamon County, Illinois",0500000US17167,50166,121100,26498,168318,1187,3821,0,0,17167,5389,197822,1922
"Tazewell County, Illinois",0500000US17179,49962,134700,1936,133023,972,1383,0,0,17179,7122,135433,890
"Vermilion County, Illinois",0500000US17183,38167,74000,11804,68839,777,337,0,0,17183,6454,81551,1377
"Will County, Illinois",0500000US17197,71016,227200,80527,535990,4781,34767,0,2175,17197,3880,678697,37834
"Williamson County, Illinois",0500000US17199,43709,90300,3526,62802,0,0,0,0,17199,8430,66369,0
"Winnebago County, Illinois",0500000US17201,43792,129900,41281,246123,2264,7946,0,373,17201,3473,295127,3949
"Allen County, Indiana",0500000US18003,47054,112100,47649,293828,3105,11036,0,0,18003,4041,355856,10063
"Bartholomew County, Indiana",0500000US18005,47192,138600,1582,71268,0,3113,0,0,18005,8871,76855,1237
"Clark County, Indiana",0500000US18019,44099,132700,9260,101461,668,1194,0,0,18019,6440,110610,440
"Delaware County, Indiana",0500000US18035,35902,94800,7895,108503,2510,1562,0,0,18035,3171,117669,619
"Elkhart County, Indiana",0500000US18039,41748,126200,13875,175475,1730,2492,0,0,18039,5975,197646,8306
"Floyd County, Indiana",0500000US18043,47804,151200,5058,70391,326,959,0,0,18043,7525,74679,382
"Grant County, Indiana",0500000US18053,34716,77400,4823,65528,1888,505,0,0,18053,4357,69975,0
"Hamilton County, Indiana",0500000US18057,80808,217300,12942,249683,1154,15400,0,0,18057,7847,276390,2252
"Hancock County, Indiana",0500000US18059,58587,164500,1819,68691,530,770,0,0,18059,7518,70250,0
"Hendricks County, Indiana",0500000US18063,65218,162400,8240,134356,512,3751,0,0,18063,4597,145867,1906
"Howard County, Indiana",0500000US18067,36733,99900,7364,75068,795,912,0,0,18067,6621,82770,1388
"Johnson County, Indiana",0500000US18081,58318,139300,2266,133148,561,3517,0,0,18081,7036,140009,2142
"Kosciusko County, Indiana",0500000US18085,47308,140500,1146,71695,186,801,0,0,18085,12246,77368,4039
"Lake County, Indiana",0500000US18089,45153,141400,133578,315708,3685,7972,0,0,18089,4319,495981,46015
"LaPorte County, Indiana",0500000US18091,43765,125800,13221,98391,642,934,0,0,18091,7751,111465,704
"Madison County, Indiana",0500000US18095,38772,91600,9579,121409,3298,778,0,0,18095,4268,131642,1054
"Marion County, Indiana",0500000US18097,38959,118200,257763,605148,8601,22427,0,0,18097,2028,904878,37753
"Monroe County, Indiana",0500000US18105,36392,155700,6041,125275,897,8925,0,0,18105,10967,138422,1179
"Morgan County, Indiana",0500000US18109,52965,146700,681,68323,0,0,0,0,18109,10261,69061,0
"Porter County, Indiana",0500000US18127,55186,168300,6622,154662,1318,2586,0,0,18127,4044,164592,1519
"St. Joseph County, Indiana",0500000US18141,42089,121700,38339,221122,2520,6038,0,0,18141,4651,266961,4686
"Tippecanoe County, Indiana",0500000US18157,37983,129100,8439,151664,1239,11731,0,575,18157,6879,172963,3450
"Vanderburgh County, Indiana",0500000US18163,40290,117400,19507,159443,691,2769,0,0,18163,5208,179833,1523
"Vigo County, Indiana",0500000US18167,39429,93300,9065,97118,785,2124,0,0,18167,5756,107958,796
"Wayne County, Indiana",0500000US18177,36079,95200,2902,65674,2332,704,0,0,18177,4981,68853,799
"Black Hawk County, Iowa",0500000US19013,43341,120900,13745,114764,835,2197,0,0,19013,4303,131221,1796
"Dallas County, Iowa",0500000US19049,63915,172900,1221,62112,181,2115,0,0,19049,15081,66616,2731
"Dubuque County, Iowa",0500000US19061,49776,150100,3192,90650,1169,968,0,0,19061,6262,93880,0
"Johnson County, Iowa",0500000US19103,49226,190200,7505,115395,693,7872,0,330,19103,7792,131225,2152
"Linn County, Iowa",0500000US19113,54539,138800,11982,195197,732,4827,0,0,19113,3275,211501,2264
"Polk County, Iowa",0500000US19153,53866,150800,30998,377328,4974,17963,0,0,19153,3251,432260,11885
"Pottawattamie County, Iowa",0500000US19155,47864,130600,1958,89123,1044,661,0,0,19155,7848,93359,2750
"Scott County, Iowa",0500000US19163,47206,142600,15411,147786,2403,4112,0,0,19163,4555,165841,2409
"Story County, Iowa",0500000US19169,48034,159000,2587,80489,243,6033,0,0,19169,5276,89575,978
"Woodbury County, Iowa",0500000US19193,42208,98500,4801,86560,2794,2842,0,0,19193,6224,102407,7833
"Butler County, Kansas",0500000US20015,53503,127500,1132,62727,1307,1043,0,0,20015,15527,65923,1432
"Douglas County, Kansas",0500000US20045,47263,187600,6888,98665,4914,5094,0,0,20045,8686,111130,1731
"Johnson County, Kansas",0500000US20091,71008,207700,29101,490150,5833,26581,0,388,20091,4050,545876,8363
"Leavenworth County, Kansas",0500000US20103,61310,166200,8786,63125,1547,1566,0,0,20103,11807,73749,1111
"Riley County, Kansas",0500000US20161,45246,157600,5380,63847,2367,3909,0,0,20161,15064,71481,0
"Sedgwick County, Kansas",0500000US20173,45726,122000,55869,405128,13542,24802,0,386,20173,3377,499393,22453
